Name,Brand,Description,Category,Rating,Image_URL,Tags
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/e/v/f/-original-imahbzmfcrpac9xr.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.6,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/3/c/f/new-edition-tws-m19-gaming-earbuds-bluetooth-5-0-wireless-led-original-imah96zwnpzh4gu7.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4.1,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/v/d/e/-original-imaheh3g25xmqy6v.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.8,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/1/s/q/nb126-berry-v5-4-upto-60hr-playtime-dual-paring-fast-charging-original-imahh48j4vzgfg6j.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.9,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/m/v/s/-original-imahbh24bxnrntd6.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-headphone/q/n/j/bluetooth-yes-m90-bluetooth-wireless-earbuds-with-slide-design-original-imahdjh6gbxzxfp4.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.9,https://rukminim2.flixcart.com/image/612/612/kwxv98w0/headphone/s/c/j/-original-imag9hxj7qmmyqmh.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.8,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/1/n/j/-original-imagtg3gtccurhsd.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/r/l/k/-original-imahexampyqa8qgg.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.9,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/o/9/6/-original-imahgzmynp2k7hyc.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/s/h/r/m19-bluetooth-wireless-earbuds-large-dual-led-display-with-high-original-imahczhmfzwyrzsa.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/s/r/9/bs-ultrapood-bullstorm-original-imahcus46hzumv9a.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/u/r/c/-original-imahfvv6zthdygmy.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/d/o/q/-original-imahfvv6gmzy5fy4.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.5,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/c/w/m/m19-compact-earbud-bliss-clubics-original-imahbfe35zrsgnfn.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.8,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/q/z/6/nb126-berry-v5-4-upto-60hr-playtime-dual-paring-fast-charging-original-imahh48faxgszsyd.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/a/n/7/-original-imahgnf4h8hnyg9s.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/0/r/u/exclusive-tws-t2-wireless-earbuds-with-1500mah-powerbank-asap-original-imahedb2jkmzgn2v.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.9,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/s/s/w/-original-imah34qdujndwk47.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4.1,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/5/t/f/-original-imah9dgfmz4zzpev.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.7,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/6/p/d/m19-tws-ecouteur-headsets-earphones-wireless-earbuds-for-mobile-original-imah96p5wa9megeg.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4.3,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/o/f/d/-original-imahgbn7hzywq3gm.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.9,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/g/v/e/-original-imahej2rjfsksykm.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/d/q/r/-original-imagp6skt77zsdjt.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4.1,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/a/h/i/-original-imah9f97ygh2rtzx.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.9,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/c/z/3/-original-imah4znyggyrgxzg.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.6,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/l/x/v/bluetooth-tws-wireless-air-pods-with-good-sound-quality-and-10-original-imah748gavweqqfu.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/2/w/a/-original-imah8wvggektkfgz.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.7,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/5/b/n/-original-imahfjrvv6kphzqn.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/p/0/p/-original-imagp6skfbnypq5g.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4.1,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/7/j/4/airdoze-s40-earbuds-with-13mm-drivers-40h-playtime-rage-mode-enc-original-imagrzkxqwnxn9ac.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4.4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/m/n/o/e510a-oneplus-original-imahdum7q6jx57gf.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4.2,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/g/j/a/-original-imahe5gm62hddzzg.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,3.9,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/q/y/i/-original-imah4gr9ynyg9aed.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
,Unknown, wireless earbuds with advanced sound quality.,Earbuds,4,https://rukminim2.flixcart.com/image/612/612/xif0q/headphone/v/f/8/-original-imahae3g84uzxbsz.jpeg?q=70,"earbuds, bluetooth, wireless, audio, flipkart, electronics"
